State,Year,AvgPrecip
Alabama,2018,4.76
Alabama,2019,4.02
Alabama,2020,4.92
Alabama,2021,5.07
Alabama,2022,4.11
Alabama,2023,3.84
Alaska,2018,1.90
Alaska,2019,1.78
Alaska,2020,1.64
Alaska,2021,1.78
Alaska,2022,1.86
Alaska,2023,1.81
Arizona,2018,0.65
Arizona,2019,0.80
Arizona,2020,0.45
Arizona,2021,0.76
Arizona,2022,0.71
Arizona,2023,0.70
Arkansas,2018,4.11
Arkansas,2019,4.67
Arkansas,2020,4.06
Arkansas,2021,3.38
Arkansas,2022,3.49
Arkansas,2023,3.32
California,2018,1.27
California,2019,1.70
California,2020,1.07
California,2021,1.30
California,2022,1.06
California,2023,1.62
Colorado,2018,0.95
Colorado,2019,1.27
Colorado,2020,0.90
Colorado,2021,1.13
Colorado,2022,1.09
Colorado,2023,1.31
Florida,2018,3.61
Florida,2019,3.47
Florida,2020,3.94
Florida,2021,3.38
Florida,2022,3.53
Florida,2023,3.52
Georgia,2018,4.71
Georgia,2019,3.51
Georgia,2020,4.38
Georgia,2021,4.27
Georgia,2022,3.67
Georgia,2023,3.95
Idaho,2018,1.32
Idaho,2019,1.44
Idaho,2020,1.36
Idaho,2021,1.30
Idaho,2022,1.38
Idaho,2023,1.45
Illinois,2018,3.49
Illinois,2019,3.69
Illinois,2020,3.03
Illinois,2021,3.02
Illinois,2022,2.75
Illinois,2023,2.67
Indiana,2018,3.72
Indiana,2019,3.58
Indiana,2020,3.15
Indiana,2021,3.31
Indiana,2022,2.85
Indiana,2023,2.79
Iowa,2018,3.29
Iowa,2019,3.96
Iowa,2020,2.75
Iowa,2021,2.66
Iowa,2022,2.44
Iowa,2023,2.52
Kansas,2018,2.33
Kansas,2019,3.05
Kansas,2020,2.00
Kansas,2021,2.04
Kansas,2022,1.73
Kansas,2023,2.10
Maine,2018,3.11
Maine,2019,3.25
Maine,2020,2.92
Maine,2021,2.77
Maine,2022,3.53
Maine,2023,3.31
Maryland,2018,4.45
Maryland,2019,3.44
Maryland,2020,4.23
Maryland,2021,3.20
Maryland,2022,3.32
Maryland,2023,3.22
Michigan,2018,2.85
Michigan,2019,3.18
Michigan,2020,2.84
Michigan,2021,2.53
Michigan,2022,2.88
Michigan,2023,2.69
Minnesota,2018,2.04
Minnesota,2019,2.46
Minnesota,2020,1.76
Minnesota,2021,1.88
Minnesota,2022,2.07
Minnesota,2023,1.87
Mississippi,2018,4.84
Mississippi,2019,4.65
Mississippi,2020,4.93
Mississippi,2021,5.15
Mississippi,2022,4.29
Mississippi,2023,3.61
Missouri,2018,2.98
Missouri,2019,4.13
Missouri,2020,3.11
Missouri,2021,3.34
Missouri,2022,2.91
Missouri,2023,2.58
Montana,2018,1.20
Montana,2019,1.41
Montana,2020,1.04
Montana,2021,0.91
Montana,2022,1.12
Montana,2023,1.15
Nebraska,2018,2.01
Nebraska,2019,2.25
Nebraska,2020,1.45
Nebraska,2021,1.79
Nebraska,2022,1.34
Nebraska,2023,1.98
Nevada,2018,0.79
Nevada,2019,1.17
Nevada,2020,0.82
Nevada,2021,0.97
Nevada,2022,0.86
Nevada,2023,1.14
New Hampshire,2018,3.70
New Hampshire,2019,3.31
New Hampshire,2020,2.93
New Hampshire,2021,3.10
New Hampshire,2022,3.53
New Hampshire,2023,4.18
New Mexico,2018,0.87
New Mexico,2019,0.98
New Mexico,2020,0.71
New Mexico,2021,0.96
New Mexico,2022,0.94
New Mexico,2023,0.93
New York,2018,3.97
New York,2019,3.93
New York,2020,3.37
New York,2021,3.80
New York,2022,3.48
New York,2023,4.18
North Carolina,2018,4.43
North Carolina,2019,3.55
North Carolina,2020,4.54
North Carolina,2021,3.28
North Carolina,2022,3.32
North Carolina,2023,3.43
North Dakota,2018,1.30
North Dakota,2019,1.87
North Dakota,2020,0.93
North Dakota,2021,1.12
North Dakota,2022,1.34
North Dakota,2023,1.20
Ohio,2018,3.76
Ohio,2019,3.51
Ohio,2020,3.34
Ohio,2021,3.34
Ohio,2022,3.12
Ohio,2023,2.97
Oklahoma,2018,2.91
Oklahoma,2019,3.91
Oklahoma,2020,2.66
Oklahoma,2021,2.36
Oklahoma,2022,2.09
Oklahoma,2023,2.50
Oregon,2018,1.93
Oregon,2019,2.28
Oregon,2020,1.98
Oregon,2021,2.18
Oregon,2022,2.08
Oregon,2023,2.26
Pennsylvania,2018,4.42
Pennsylvania,2019,3.53
Pennsylvania,2020,3.27
Pennsylvania,2021,3.57
Pennsylvania,2022,3.32
Pennsylvania,2023,3.23
South Carolina,2018,4.02
South Carolina,2019,3.29
South Carolina,2020,4.34
South Carolina,2021,3.62
South Carolina,2022,3.32
South Carolina,2023,3.83
South Dakota,2018,1.74
South Dakota,2019,2.20
South Dakota,2020,1.27
South Dakota,2021,1.53
South Dakota,2022,1.28
South Dakota,2023,1.88
Tennessee,2018,4.45
Tennessee,2019,4.29
Tennessee,2020,4.20
Tennessee,2021,3.76
Tennessee,2022,3.65
Tennessee,2023,3.33
Texas,2018,2.55
Texas,2019,2.50
Texas,2020,2.22
Texas,2021,2.42
Texas,2022,1.79
Texas,2023,2.00
Utah,2018,0.71
Utah,2019,1.20
Utah,2020,0.60
Utah,2021,0.87
Utah,2022,0.77
Utah,2023,1.11
Virginia,2018,3.97
Virginia,2019,3.07
Virginia,2020,3.28
Virginia,2021,2.47
Virginia,2022,2.86
Virginia,2023,2.30
Washington,2018,2.23
Washington,2019,2.00
Washington,2020,2.29
Washington,2021,2.22
Washington,2022,2.17
Washington,2023,1.98
West Virginia,2018,4.13
West Virginia,2019,3.41
West Virginia,2020,3.54
West Virginia,2021,3.01
West Virginia,2022,3.51
West Virginia,2023,2.77
Wisconsin,2018,2.99
Wisconsin,2019,3.45
Wisconsin,2020,2.74
Wisconsin,2021,2.55
Wisconsin,2022,2.73
Wisconsin,2023,2.56
Wyoming,2018,0.89
Wyoming,2019,1.24
Wyoming,2020,0.64
Wyoming,2021,0.86
Wyoming,2022,0.88
Wyoming,2023,1.20
